hospital_name,hospital_type,address,hq_city,hq_state,hq_zip,county,state,state_fips,county_fips,fips,licensed_beds,staffed_beds,icu_beds,adult_icu_beds,pedi_icu_beds,bed_utilization,avg_ventilator_usage,increase_in_bed_capacity
"""Piggott Community Hospital""","""Critical Access Hospital""","""1206 Gordon Duckworth Dr""","""Piggott""","""AR""","""72454""","""Clay""","""Arkansas""","""05""","""021""","""05021""",25,25,4,4,0,0.52295887,1,0
"""Baptist Health - Heber Springs""","""Critical Access Hospital""","""1800 ByPass Rd""","""Heber Springs""","""AR""","""72543""","""Cleburne""","""Arkansas""","""05""","""023""","""05023""",25,25,4,4,0,0.29468492,1,0
"""Magnolia Regional Medical Center""","""Short Term Acute Care Hospital""","""101 Hospital Dr""","""Magnolia""","""AR""","""71753""","""Columbia""","""Arkansas""","""05""","""027""","""05027""",49,30,6,6,0,0.26273972,2,19
"""Providence VA Medical Center""","""VA Hospital""","""830 Chalkstone Ave""","""Providence""","""RI""","""2908""","""Providence""","""Rhode Island""","""44""","""007""","""44007""",73,73,2,2,null,null,2,0
"""CHI St Vincent Morrilton""","""Critical Access Hospital""","""4 Hospital Dr""","""Morrilton""","""AR""","""72110""","""Conway""","""Arkansas""","""05""","""029""","""05029""",25,25,4,4,0,0.27912569,2,0
"""NEA Baptist Memorial Hospital""","""Short Term Acute Care Hospital""","""4800 E Johnson Ave""","""Jonesboro""","""AR""","""72401""","""Craighead""","""Arkansas""","""05""","""031""","""05031""",228,100,36,36,0,0.72596651,4,128
"""St Bernards Medical Center""","""Short Term Acute Care Hospital""","""225 E Washington Ave""","""Jonesboro""","""AR""","""72401""","""Craighead""","""Arkansas""","""05""","""031""","""05031""",378,337,30,30,12,0.66164941,11,41
"""Baptist Health - Van Buren (FKA Sparks Medical Center - Van Buren)""","""Short Term Acute Care Hospital""","""211 Crawford Memorial Dr""","""Van Buren""","""AR""","""72956""","""Crawford""","""Arkansas""","""05""","""033""","""05033""",103,44,8,8,0,0.14327522,2,59
"""CrossRidge Community Hospital""","""Critical Access Hospital""","""310 Falls Blvd S""","""Wynne""","""AR""","""72396""","""Cross""","""Arkansas""","""05""","""037""","""05037""",25,15,3,3,0,0.56529683,2,10
"""Dallas County Medical Center""","""Critical Access Hospital""","""201 N Clifton St""","""Fordyce""","""AR""","""71742""","""Dallas""","""Arkansas""","""05""","""039""","""05039""",25,22,4,4,0,0.087920301,0,3
"""McGehee Hospital (AKA McGehee-Desha County Hospital)""","""Critical Access Hospital""","""900 S 3rd St""","""McGehee""","""AR""","""71654""","""Desha""","""Arkansas""","""05""","""041""","""05041""",25,25,4,4,0,0.099672131,1,0
"""Delta Memorial Hospital""","""Critical Access Hospital""","""811 Highway 65 S""","""Dumas""","""AR""","""71639""","""Desha""","""Arkansas""","""05""","""041""","""05041""",25,25,4,4,0,0.25726777,1,0
"""Drew Memorial Health System (FKA Drew Memorial Hospital)""","""Short Term Acute Care Hospital""","""778 Scogin Dr""","""Monticello""","""AR""","""71655""","""Drew""","""Arkansas""","""05""","""043""","""05043""",49,50,5,5,0,0.44879782,2,-1
"""Conway Regional Medical Center""","""Short Term Acute Care Hospital""","""2302 College Ave""","""Conway""","""AR""","""72034""","""Faulkner""","""Arkansas""","""05""","""045""","""05045""",150,139,17,17,0,0.6153543,4,11
"""Mercy Hospital Ozark""","""Critical Access Hospital""","""801 W River St""","""Ozark""","""AR""","""72949""","""Franklin""","""Arkansas""","""05""","""047""","""05047""",25,25,4,4,0,0.11573771,1,0
"""Levi Hospital (AKA Leo N Levi National Arthritis Hospital)""","""Short Term Acute Care Hospital""","""300 Prospect Ave""","""Hot Springs""","""AR""","""71901""","""Garland""","""Arkansas""","""05""","""051""","""05051""",50,1,0,0,0,0.002739726,0,49
"""National Park Medical Center""","""Short Term Acute Care Hospital""","""1910 Malvern Ave""","""Hot Springs""","""AR""","""71901""","""Garland""","""Arkansas""","""05""","""051""","""05051""",163,126,16,16,0,0.65940422,5,37
"""CHI St Vincent Hot Springs (FKA Mercy Hospital Hot Springs)""","""Short Term Acute Care Hospital""","""300 Werner St""","""Hot Springs""","""AR""","""71913""","""Garland""","""Arkansas""","""05""","""051""","""05051""",282,229,25,25,0,0.54960984,7,53
"""Arkansas Methodist Medical Center""","""Short Term Acute Care Hospital""","""900 W Kingshwy""","""Paragould""","""AR""","""72451""","""Greene""","""Arkansas""","""05""","""055""","""05055""",129,114,8,8,0,0.28514779,3,15
"""Wadley Regional Medical Center at Hope (FKA Medical Park Hospital)""","""Short Term Acute Care Hospital""","""2001 S Main St""","""Hope""","""AR""","""71801""","""Hempstead""","""Arkansas""","""05""","""057""","""05057""",79,67,8,8,0,0.092496425,2,12
"""Baptist Health - Hot Spring County (FKA Hot Spring County Medical Center)""","""Short Term Acute Care Hospital""","""1001 Schneider Dr""","""Malvern""","""AR""","""72104""","""Hot Spring""","""Arkansas""","""05""","""059""","""05059""",72,65,6,6,0,0.37808219,2,7
"""Ralph H Johnson VA Medical Center""","""VA Hospital""","""109 Bee St""","""Charleston""","""SC""","""29401""","""Charleston""","""South Carolina""","""45""","""019""","""45019""",132,132,0,0,null,null,0,0
"""Howard Memorial Hospital""","""Critical Access Hospital""","""130 Medical Cir""","""Nashville""","""AR""","""71852""","""Howard""","""Arkansas""","""05""","""061""","""05061""",20,20,6,6,0,0.2920548,2,0
"""White River Medical Center""","""Short Term Acute Care Hospital""","""1710 Harrison St""","""Batesville""","""AR""","""72501""","""Independence""","""Arkansas""","""05""","""063""","""05063""",235,170,12,12,0,0.47740531,4,65
"""Jefferson Regional Medical Center""","""Short Term Acute Care Hospital""","""1600 W 40th Ave""","""Pine Bluff""","""AR""","""71603""","""Jefferson""","""Arkansas""","""05""","""069""","""05069""",471,271,34,34,0,0.41703466,7,200
"""Johnson Regional Medical Center""","""Short Term Acute Care Hospital""","""1100 E Poplar St""","""Clarksville""","""AR""","""72830""","""Johnson""","""Arkansas""","""05""","""071""","""05071""",90,58,8,8,0,0.21270666,2,32
"""Lawrence Memorial Hospital""","""Critical Access Hospital""","""1309 W Main St""","""Walnut Ridge""","""AR""","""72476""","""Lawrence""","""Arkansas""","""05""","""075""","""05075""",25,25,4,4,0,0.22163935,2,0
"""Mercy Hospital Paris (FKA North Logan Mercy Hospital)""","""Critical Access Hospital""","""500 E Academy St""","""Paris""","""AR""","""72855""","""Logan""","""Arkansas""","""05""","""083""","""05083""",16,16,3,3,0,0.22967896,2,0
"""Mercy Hospital Booneville (FKA Booneville Community Hospital)""","""Critical Access Hospital""","""880 W Main St""","""Booneville""","""AR""","""72927""","""Logan""","""Arkansas""","""05""","""083""","""05083""",25,24,4,4,0,0.23041895,1,1
"""South Mississippi County Regional Medical Center""","""Critical Access Hospital""","""611 W Lee Ave""","""Osceola""","""AR""","""72370""","""Mississippi""","""Arkansas""","""05""","""093""","""05093""",25,25,4,4,0,0.15813699,1,0
"""Great River Medical Center""","""Short Term Acute Care Hospital""","""1520 N Division St""","""Blytheville""","""AR""","""72315""","""Mississippi""","""Arkansas""","""05""","""093""","""05093""",99,99,5,5,0,0.31772521,2,0
"""Ouachita County Medical Center""","""Short Term Acute Care Hospital""","""638 California Ave Sw""","""Camden""","""AR""","""71701""","""Ouachita""","""Arkansas""","""05""","""103""","""05103""",98,87,8,8,0,0.14857502,2,11
"""Helena Regional Medical Center""","""Short Term Acute Care Hospital""","""1801 Martin Luther King Jr Dr""","""Helena""","""AR""","""72342""","""Phillips""","""Arkansas""","""05""","""107""","""05107""",155,127,6,6,0,0.066379033,2,28
"""Mena Regional Health System""","""Short Term Acute Care Hospital""","""311 Morrow St N""","""Mena""","""AR""","""71953""","""Polk""","""Arkansas""","""05""","""113""","""05113""",65,41,6,6,0,0.25706649,2,24
"""St Marys Regional Medical Center (AKA Saint Marys Regional Health System)""","""Short Term Acute Care Hospital""","""1808 W Main St""","""Russellville""","""AR""","""72801""","""Pope""","""Arkansas""","""05""","""115""","""05115""",170,137,11,11,0,0.40777922,4,33
"""Baptist Health - North Little Rock""","""Short Term Acute Care Hospital""","""3333 Springhill Dr""","""North Little Rock""","""AR""","""72117""","""Pulaski""","""Arkansas""","""05""","""119""","""05119""",225,182,17,17,0,0.6172964,5,43
"""University of Arkansas for Medical Sciences Medical Center (AKA UAMS)""","""Short Term Acute Care Hospital""","""4301 W Markham St""","""Little Rock""","""AR""","""72205""","""Pulaski""","""Arkansas""","""05""","""119""","""05119""",450,450,28,28,64,0.76293153,14,0
"""CHI St Vincent Infirmary""","""Short Term Acute Care Hospital""","""2 Saint Vincent Cir""","""Little Rock""","""AR""","""72205""","""Pulaski""","""Arkansas""","""05""","""119""","""05119""",615,371,23,23,0,0.64283502,12,244
"""Central Arkansas Veterans Healthcare System - John L McClellan Memorial Veterans Hospital""","""VA Hospital""","""4300 W 7th St""","""Little Rock""","""AR""","""72205""","""Pulaski""","""Arkansas""","""05""","""119""","""05119""",538,195,2,2,null,null,2,343
"""Baptist Health - Little Rock""","""Short Term Acute Care Hospital""","""9601 Baptist Health Dr""","""Little Rock""","""AR""","""72205""","""Pulaski""","""Arkansas""","""05""","""119""","""05119""",827,764,54,54,0,0.55962849,15,63
"""Arkansas Surgical Hospital""","""Short Term Acute Care Hospital""","""5201 Northshore Dr""","""North Little Rock""","""AR""","""72118""","""Pulaski""","""Arkansas""","""05""","""119""","""05119""",49,49,9,9,0,0.38758737,2,0
"""Arkansas Heart Hospital""","""Short Term Acute Care Hospital""","""1701 S Shackleford Rd""","""Little Rock""","""AR""","""72211""","""Pulaski""","""Arkansas""","""05""","""119""","""05119""",110,112,20,20,0,0.63172698,2,-2
"""CHI St Vincent North""","""Short Term Acute Care Hospital""","""2215 Wildwood Ave""","""Sherwood""","""AR""","""72120""","""Pulaski""","""Arkansas""","""05""","""119""","""05119""",69,68,14,14,0,0.58992285,3,1
"""Arkansas Childrens Hospital""","""Childrens Hospital""","""1 Childrens Way""","""Little Rock""","""AR""","""72202""","""Pulaski""","""Arkansas""","""05""","""119""","""05119""",336,336,36,36,104,0.66382909,2,0
"""St Bernards Five Rivers (FKA Five Rivers Medical Center)""","""Short Term Acute Care Hospital""","""2801 Medical Center Dr""","""Pocahontas""","""AR""","""72455""","""Randolph""","""Arkansas""","""05""","""121""","""05121""",50,32,2,2,0,0.17696886,1,18
"""Forrest City Medical Center""","""Short Term Acute Care Hospital""","""1601 New Castle Rd""","""Forrest City""","""AR""","""72335""","""St. Francis""","""Arkansas""","""05""","""123""","""05123""",118,56,6,6,0,0.28277886,2,62
"""Saline Memorial Hospital""","""Short Term Acute Care Hospital""","""1 Medical Park Dr""","""Benton""","""AR""","""72015""","""Saline""","""Arkansas""","""05""","""125""","""05125""",177,130,16,16,0,0.32175285,3,47
"""Mercy Hospital Waldron (FKA Mercy Hospital Scott County)""","""Critical Access Hospital""","""1341 W 6th St""","""Waldron""","""AR""","""72958""","""Scott""","""Arkansas""","""05""","""127""","""05127""",24,24,4,4,0,0.11839709,1,0
"""Baptist Health - Fort Smith (FKA Sparks Regional Medical Center)""","""Short Term Acute Care Hospital""","""1001 Towson Ave""","""Fort Smith""","""AR""","""72901""","""Sebastian""","""Arkansas""","""05""","""131""","""05131""",492,280,31,31,0,0.55406064,12,212
"""Mercy Hospital Fort Smith (FKA St Edward Mercy Medical Center)""","""Short Term Acute Care Hospital""","""7301 Rogers Ave""","""Fort Smith""","""AR""","""72903""","""Sebastian""","""Arkansas""","""05""","""131""","""05131""",336,343,38,38,25,0.52161825,9,-7
"""Stone County Medical Center""","""Critical Access Hospital""","""2106 E Main St""","""Mountain View""","""AR""","""72560""","""Stone""","""Arkansas""","""05""","""137""","""05137""",25,25,4,4,0,0.20767124,1,0
"""Medical Center of South Arkansas""","""Short Term Acute Care Hospital""","""700 W Grove St""","""El Dorado""","""AR""","""71730""","""Union""","""Arkansas""","""05""","""139""","""05139""",166,111,16,16,0,0.29079899,3,55
"""Ozark Health Medical Center""","""Critical Access Hospital""","""2500 Highway 65 S""","""Clinton""","""AR""","""72031""","""Van Buren""","""Arkansas""","""05""","""141""","""05141""",25,25,4,4,0,0.43825138,2,0
"""Veterans Health Care System of the Ozarks (AKA Fayetteville VA Medical Center)""","""VA Hospital""","""1100 N College Ave""","""Fayetteville""","""AR""","""72703""","""Washington""","""Arkansas""","""05""","""143""","""05143""",78,78,0,0,null,null,0,0
"""Northwest Health Physicians Specialty Hospital""","""Short Term Acute Care Hospital""","""3873 N Parkview Dr""","""Fayetteville""","""AR""","""72703""","""Washington""","""Arkansas""","""05""","""143""","""05143""",20,20,4,4,0,0.34931508,0,0
"""Northwest Medical Center - Springdale""","""Short Term Acute Care Hospital""","""609 W Maple Ave""","""Springdale""","""AR""","""72764""","""Washington""","""Arkansas""","""05""","""143""","""05143""",222,222,21,21,0,0.50158286,5,0
"""Washington Regional Medical Center""","""Short Term Acute Care Hospital""","""3215 N Northhills Blvd""","""Fayetteville""","""AR""","""72703""","""Washington""","""Arkansas""","""05""","""143""","""05143""",425,355,40,40,34,0.53689879,10,70
"""Unity Health - White County Medical Center""","""Short Term Acute Care Hospital""","""3214 E Race Ave""","""Searcy""","""AR""","""72143""","""White""","""Arkansas""","""05""","""145""","""05145""",438,245,13,13,0,0.58266109,8,193
"""John Ed Chambers Memorial Hospital""","""Short Term Acute Care Hospital""","""719 Detroit Ave""","""Danville""","""AR""","""72833""","""Yell""","""Arkansas""","""05""","""149""","""05149""",41,30,5,5,0,0.4647541,2,11
"""Dardanelle Regional Medical Center (FKA River Valley Medical Center)""","""Critical Access Hospital""","""200 N 3rd St""","""Dardanelle""","""AR""","""72834""","""Yell""","""Arkansas""","""05""","""149""","""05149""",35,25,4,4,0,0.16262627,1,10
"""St Rose Hospital""","""Short Term Acute Care Hospital""","""27200 Calaroga Ave""","""Hayward""","""CA""","""94545""","""Alameda""","""California""","""06""","""001""","""06001""",171,195,15,15,0,0.28039339,8,-24
"""Alta Bates Summit Medical Center - Summit Campus""","""Short Term Acute Care Hospital""","""350 Hawthorne Ave""","""Oakland""","""CA""","""94609""","""Alameda""","""California""","""06""","""001""","""06001""",58,403,36,36,0,0.34196752,11,-345
"""San Leandro Hospital""","""Short Term Acute Care Hospital""","""13855 E 14th St""","""San Leandro""","""CA""","""94578""","""Alameda""","""California""","""06""","""001""","""06001""",91,48,6,6,0,0.64257991,3,43
"""Washington Hospital""","""Short Term Acute Care Hospital""","""2000 Mowry Ave""","""Fremont""","""CA""","""94538""","""Alameda""","""California""","""06""","""001""","""06001""",415,365,52,52,0,0.3902809,6,50
"""Alameda Hospital""","""Short Term Acute Care Hospital""","""2070 Clinton Ave""","""Alameda""","""CA""","""94501""","""Alameda""","""California""","""06""","""001""","""06001""",66,37,8,8,0,0.95120329,3,29
"""Stanford Health Care - ValleyCare Medical Center""","""Short Term Acute Care Hospital""","""5555 W Las Positas Blvd""","""Pleasanton""","""CA""","""94588""","""Alameda""","""California""","""06""","""001""","""06001""",167,167,23,23,0,0.41284555,5,0
"""Alta Bates Summit Medical Center - Alta Bates Campus""","""Short Term Acute Care Hospital""","""2450 Ashby Ave""","""Berkeley""","""CA""","""94705""","""Alameda""","""California""","""06""","""001""","""06001""",339,339,30,30,55,0.41773999,5,0
"""Kaiser Permanente - Oakland Medical Center""","""Short Term Acute Care Hospital""","""3600 Broadway""","""Oakland""","""CA""","""94611""","""Alameda""","""California""","""06""","""001""","""06001""",315,365,50,50,24,0.66315633,7,-50
"""Eden Medical Center""","""Short Term Acute Care Hospital""","""20103 Lake Chabot Rd""","""Castro Valley""","""CA""","""94546""","""Alameda""","""California""","""06""","""001""","""06001""",130,126,24,24,0,0.88556206,10,4
"""Sutter Amador Hospital""","""Short Term Acute Care Hospital""","""200 Mission Blvd""","""Jackson""","""CA""","""95642""","""Amador""","""California""","""06""","""005""","""06005""",52,52,6,6,0,0.43609062,3,0
"""Enloe Medical Center""","""Short Term Acute Care Hospital""","""1531 Esplanade""","""Chico""","""CA""","""95926""","""Butte""","""California""","""06""","""007""","""06007""",298,298,33,33,6,0.72739333,7,0
"""Oroville Hospital""","""Short Term Acute Care Hospital""","""2767 Olive Hwy""","""Oroville""","""CA""","""95966""","""Butte""","""California""","""06""","""007""","""06007""",133,153,10,10,0,0.85763472,10,-20
"""Mark Twain Medical Center""","""Critical Access Hospital""","""768 Mountain Ranch Rd""","""San Andreas""","""CA""","""95249""","""Calaveras""","""California""","""06""","""009""","""06009""",25,25,5,5,0,0.34421918,2,0
"""Colusa Regional Medical Center""","""Short Term Acute Care Hospital""","""199 E Webster St""","""Colusa""","""CA""","""95932""","""Colusa""","""California""","""06""","""011""","""06011""",42,42,0,0,null,0.16268754,null,0
"""John Muir Health - Concord Medical Center""","""Short Term Acute Care Hospital""","""2540 East St""","""Concord""","""CA""","""94520""","""Contra Costa""","""California""","""06""","""013""","""06013""",244,244,36,36,0,0.61752748,10,0
"""Sutter Delta Medical Center""","""Short Term Acute Care Hospital""","""3901 Lone Tree Way""","""Antioch""","""CA""","""94509""","""Contra Costa""","""California""","""06""","""013""","""06013""",145,145,12,12,4,0.56444025,8,0
"""San Ramon Regional Medical Center""","""Short Term Acute Care Hospital""","""6001 Norris Canyon Rd""","""San Ramon""","""CA""","""94583""","""Contra Costa""","""California""","""06""","""013""","""06013""",123,123,12,12,2,0.35008219,3,0
"""Kaiser Permanente - Antioch Medical Center""","""Short Term Acute Care Hospital""","""4501 Sand Creek Rd""","""Antioch""","""CA""","""94531""","""Contra Costa""","""California""","""06""","""013""","""06013""",150,138,16,16,0,0.39781615,2,12
"""Contra Costa Regional Medical Center""","""Short Term Acute Care Hospital""","""2500 Alhambra Ave""","""Martinez""","""CA""","""94553""","""Contra Costa""","""California""","""06""","""013""","""06013""",124,124,8,8,6,0.86705703,3,0
"""Kaiser Permanente - Walnut Creek Medical Center""","""Short Term Acute Care Hospital""","""1425 S Main St""","""Walnut Creek""","""CA""","""94596""","""Contra Costa""","""California""","""06""","""013""","""06013""",233,233,24,24,25,0.53250635,2,0
"""John Muir Health - Walnut Creek Medical Center""","""Short Term Acute Care Hospital""","""1601 Ygnacio Valley Rd""","""Walnut Creek""","""CA""","""94598""","""Contra Costa""","""California""","""06""","""013""","""06013""",554,506,55,55,60,0.46712869,16,48
"""Sutter Coast Hospital""","""Short Term Acute Care Hospital""","""800 E Washington Blvd""","""Crescent City""","""CA""","""95531""","""Del Norte""","""California""","""06""","""015""","""06015""",49,39,6,6,0,0.49624166,3,10
"""Marshall Medical Center""","""Short Term Acute Care Hospital""","""1100 Marshall Way""","""Placerville""","""CA""","""95667""","""El Dorado""","""California""","""06""","""017""","""06017""",111,111,20,20,0,0.47883499,4,0
"""Barton Memorial Hospital (AKA Barton Health)""","""Short Term Acute Care Hospital""","""2170 South Ave""","""South Lake Tahoe""","""CA""","""96150""","""El Dorado""","""California""","""06""","""017""","""06017""",63,63,8,8,0,0.270798,2,0
"""Adventist Health Reedley""","""Short Term Acute Care Hospital""","""372 W Cypress Ave""","""Reedley""","""CA""","""93654""","""Fresno""","""California""","""06""","""019""","""06019""",49,49,9,9,0,0.2214146,2,0
"""Community Regional Medical Center""","""Short Term Acute Care Hospital""","""2823 Fresno St""","""Fresno""","""CA""","""93721""","""Fresno""","""California""","""06""","""019""","""06019""",685,663,88,88,84,0.75807005,23,22
"""Saint Agnes Medical Center""","""Short Term Acute Care Hospital""","""1303 E Herndon Ave""","""Fresno""","""CA""","""93720""","""Fresno""","""California""","""06""","""019""","""06019""",436,385,40,40,0,0.79318273,12,51
"""Clovis Community Medical Center""","""Short Term Acute Care Hospital""","""2755 Herndon Ave""","""Clovis""","""CA""","""93611""","""Fresno""","""California""","""06""","""019""","""06019""",208,208,24,24,8,0.85026342,8,0
"""Fresno Surgical Hospital""","""Short Term Acute Care Hospital""","""6125 N Fresno St""","""Fresno""","""CA""","""93710""","""Fresno""","""California""","""06""","""019""","""06019""",27,27,5,5,0,0.30421105,1,0
"""Kaiser Permanente - Fresno Medical Center""","""Short Term Acute Care Hospital""","""7300 N Fresno St""","""Fresno""","""CA""","""93720""","""Fresno""","""California""","""06""","""019""","""06019""",169,169,12,12,12,0.47815514,2,0
"""Fresno Heart & Surgical Hospital""","""Short Term Acute Care Hospital""","""15 E Audubon Dr""","""Fresno""","""CA""","""93720""","""Fresno""","""California""","""06""","""019""","""06019""",57,57,10,10,0,0.54568613,0,0
"""Glenn Medical Center""","""Critical Access Hospital""","""1133 W Sycamore St""","""Willows""","""CA""","""95988""","""Glenn""","""California""","""06""","""021""","""06021""",47,15,3,3,0,1,1,32
"""Jerold Phelps Community Hospital""","""Critical Access Hospital""","""733 Cedar St""","""Garberville""","""CA""","""95542""","""Humboldt""","""California""","""06""","""023""","""06023""",9,9,2,2,0,0.34946728,0,0
"""Redwood Memorial Hospital""","""Critical Access Hospital""","""3300 Renner Dr""","""Fortuna""","""CA""","""95540""","""Humboldt""","""California""","""06""","""023""","""06023""",35,25,5,5,0,0.42939889,2,10
"""Mad River Community Hospital""","""Short Term Acute Care Hospital""","""3800 Janes Rd""","""Arcata""","""CA""","""95521""","""Humboldt""","""California""","""06""","""023""","""06023""",78,49,8,8,0,0.37777531,2,29
"""St Joseph Hospital - Eureka""","""Short Term Acute Care Hospital""","""2700 Dolbeer St""","""Eureka""","""CA""","""95501""","""Humboldt""","""California""","""06""","""023""","""06023""",138,127,12,12,5,0.72245169,8,11
"""Martinsburg VA Medical Center""","""VA Hospital""","""510 Butler Ave""","""Martinsburg""","""WV""","""25405""","""Berkeley""","""West Virginia""","""54""","""003""","""54003""",67,67,1,1,null,null,2,0
"""El Centro Regional Medical Center""","""Short Term Acute Care Hospital""","""1415 Ross Ave""","""El Centro""","""CA""","""92243""","""Imperial""","""California""","""06""","""025""","""06025""",161,161,20,20,0,0.37910262,4,0
"""Pioneers Memorial Hospital (AKA Pioneers Memorial Healthcare District)""","""Short Term Acute Care Hospital""","""207 W Legion Rd""","""Brawley""","""CA""","""92227""","""Imperial""","""California""","""06""","""025""","""06025""",107,107,8,8,0,0.41004035,5,0
"""Southern Inyo Hospital (AKA Southern Inyo Healthcare District)""","""Critical Access Hospital""","""501 E Locust St""","""Lone Pine""","""CA""","""93545""","""Inyo""","""California""","""06""","""027""","""06027""",4,4,1,1,0,0.13150685,0,0
"""Northern Inyo Hospital""","""Critical Access Hospital""","""150 Pioneer Ln""","""Bishop""","""CA""","""93514""","""Inyo""","""California""","""06""","""027""","""06027""",25,25,4,4,0,0.35342467,2,0
"""Kern Valley Healthcare District""","""Critical Access Hospital""","""6412 Laurel Ave""","""Lake Isabella""","""CA""","""93240""","""Kern""","""California""","""06""","""029""","""06029""",27,24,4,4,0,0.19303653,2,3
"""Adventist Health Tehachapi Valley (FKA Tehachapi Hospital)""","""Critical Access Hospital""","""1100 Magellan Dr""","""Tehachapi""","""CA""","""93561""","""Kern""","""California""","""06""","""029""","""06029""",25,25,4,4,0,0.46311638,2,0
"""Kern Medical (FKA Kern Medical Center)""","""Short Term Acute Care Hospital""","""1700 Mount Vernon Ave""","""Bakersfield""","""CA""","""93306""","""Kern""","""California""","""06""","""029""","""06029""",222,222,12,12,28,0.58510429,3,0
"""Mercy Hospital Downtown - Bakersfield""","""Short Term Acute Care Hospital""","""2215 Truxtun Ave""","""Bakersfield""","""CA""","""93301""","""Kern""","""California""","""06""","""029""","""06029""",144,144,28,28,9,0.48699236,4,0
"""Good Samaritan Hospital""","""Short Term Acute Care Hospital""","""901 Olive Dr""","""Bakersfield""","""CA""","""93309""","""Kern""","""California""","""06""","""029""","""06029""",64,43,4,4,0,0.30238929,1,21
"""Delano Regional Medical Center (AKA Adventist Health Delano)""","""Short Term Acute Care Hospital""","""1401 Garces Hwy""","""Delano""","""CA""","""93215""","""Kern""","""California""","""06""","""029""","""06029""",105,105,10,10,0,0.20234834,2,0
"""Bakersfield Heart Hospital""","""Short Term Acute Care Hospital""","""3001 Sillect Ave""","""Bakersfield""","""CA""","""93308""","""Kern""","""California""","""06""","""029""","""06029""",47,47,11,11,0,0.73786068,4,0
"""Ridgecrest Regional Hospital""","""Critical Access Hospital""","""1081 N China Lake Blvd""","""Ridgecrest""","""CA""","""93555""","""Kern""","""California""","""06""","""029""","""06029""",72,25,4,4,0,0.57128769,2,47
"""Adventist Health Bakersfield (FKA San Joaquin Community Hospital)""","""Short Term Acute Care Hospital""","""2615 Chester Ave""","""Bakersfield""","""CA""","""93301""","""Kern""","""California""","""06""","""029""","""06029""",254,254,34,34,9,0.64435339,5,0
"""Memorial Hospital - Bakersfield (FKA Bakersfield Memorial Hospital)""","""Short Term Acute Care Hospital""","""420 34th St""","""Bakersfield""","""CA""","""93301""","""Kern""","""California""","""06""","""029""","""06029""",408,421,48,48,31,0.4365145,7,-13
"""Adventist Health Hanford""","""Short Term Acute Care Hospital""","""115 Mall Dr""","""Hanford""","""CA""","""93230""","""Kings""","""California""","""06""","""031""","""06031""",173,142,22,22,0,0.51438951,5,31
"""Adventist Health Clear Lake (FKA St Helena Hospital - Clear Lake)""","""Critical Access Hospital""","""15630 18th Ave""","""Clearlake""","""CA""","""95422""","""Lake""","""California""","""06""","""033""","""06033""",32,25,4,4,0,0.62290412,3,7
"""Sutter Lakeside Hospital""","""Critical Access Hospital""","""5176 Hill Rd E""","""Lakeport""","""CA""","""95453""","""Lake""","""California""","""06""","""033""","""06033""",30,25,4,4,0,0.7438904,2,5
"""Banner Lassen Medical Center""","""Critical Access Hospital""","""1800 Spring Ridge Dr""","""Susanville""","""CA""","""96130""","""Lassen""","""California""","""06""","""035""","""06035""",25,25,4,4,0,0.36372602,1,0
"""Catalina Island Medical Center""","""Critical Access Hospital""","""100 Falls Canyon Rd""","""Avalon""","""CA""","""90704""","""Los Angeles""","""California""","""06""","""037""","""06037""",8,8,1,1,0,0.47636986,0,0
"""Childrens Hospital Los Angeles""","""Childrens Hospital""","""4650 W Sunset Blvd""","""Los Angeles""","""CA""","""90027""","""Los Angeles""","""California""","""06""","""037""","""06037""",495,379,48,48,58,0.87363499,2,116
"""Miller Childrens & Womens Hospital Long Beach""","""Childrens Hospital""","""2801 Atlantic Ave""","""Long Beach""","""CA""","""90806""","""Los Angeles""","""California""","""06""","""037""","""06037""",357,357,30,30,95,0.44957983,7,0
"""USC Verdugo Hills Hospital""","""Short Term Acute Care Hospital""","""1812 Verdugo Blvd""","""Glendale""","""CA""","""91208""","""Los Angeles""","""California""","""06""","""037""","""06037""",116,116,12,12,7,0.44924158,3,0
"""Valley Presbyterian Hospital""","""Short Term Acute Care Hospital""","""15107 Vanowen St""","""Van Nuys""","""CA""","""91405""","""Los Angeles""","""California""","""06""","""037""","""06037""",350,333,20,20,42,0.53769386,8,17
"""San Gabriel Valley Medical Center""","""Short Term Acute Care Hospital""","""438 W Las Tunas Dr""","""San Gabriel""","""CA""","""91776""","""Los Angeles""","""California""","""06""","""037""","""06037""",187,187,19,19,12,0.54568899,6,0
"""Panorama City Medical Center""","""Short Term Acute Care Hospital""","""13651 Willard St""","""Panorama City""","""CA""","""91402""","""Los Angeles""","""California""","""06""","""037""","""06037""",218,218,24,24,24,0.35885385,3,0
"""Los Angeles Medical Center""","""Short Term Acute Care Hospital""","""4867 W Sunset Blvd""","""Los Angeles""","""CA""","""90027""","""Los Angeles""","""California""","""06""","""037""","""06037""",460,460,96,96,33,0.71137583,3,0
"""Downey Medical Center""","""Short Term Acute Care Hospital""","""9333 Imperial Hwy""","""Downey""","""CA""","""90242""","""Los Angeles""","""California""","""06""","""037""","""06037""",352,352,38,38,49,0.4910025,4,0
"""St Mary Medical Center Long Beach""","""Short Term Acute Care Hospital""","""1050 Linden Ave""","""Long Beach""","""CA""","""90813""","""Los Angeles""","""California""","""06""","""037""","""06037""",360,250,30,30,25,0.5796594,6,110
